line(173431)	1000|7200000301|2020|128|50|S|H|||||       8709.67|       8709.67|          0.00|       8709.67|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000067 MN-010 222 South, 9th street"||||0000610000|RFBU|||          0.00|001000J466||||000000|00000000|0000630000||||||          0.00|||0000116832||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|       8709.67|00000000||
line(173438)	1000|7200000301|2020|135|50|S|H|||||      34450.82|      34450.82|          0.00|      34450.82|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000009 MI-011 Suite 700, 301 E. Liberty Stree"||||0000610000|RFBU|||          0.00|001000M485||||000000|00000000|0000630000||||||          0.00|||0000123528||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      34450.82|00000000||
line(173439)	1000|7200000301|2020|136|50|S|H|||||      13594.50|      13594.50|          0.00|      13594.50|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000058 IA-003 Suite 200, 420 Locust Street"||||0000610000|RFBU|||          0.00|001000M491||||000000|00000000|0000630000||||||          0.00|||0000123528||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      13594.50|00000000||
line(173442)	1000|7200000301|2020|139|50|S|H|||||      10373.00|      10373.00|          0.00|      10373.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000155 CA-057 42808 Christy Street,Suite 221"||||0000610000|RFBU|||          0.00|001000M602||||000000|00000000|0000630000||||||          0.00|||0000128620||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      10373.00|00000000||
line(173448)	1000|7200000301|2020|145|50|S|H|||||      61489.00|      61489.00|          0.00|      61489.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000156 CA-053 25 Kearny St.Suite 200, CA 94108"||||0000610000|RFBU|||          0.00|001000L966||||000000|00000000|0000630000||||||          0.00|||0000123528||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      61489.00|00000000||
line(173484)	1000|7200000301|2020|181|50|S|H|||||       7450.92|       7450.92|          0.00|       7450.92|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000050 TX-048 3890 W. Northwest Highway,"||||0000610000|RFBU|||          0.00|001000J464||||000000|00000000|0000630000||||||          0.00|||0000116832||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|       7450.92|00000000||
line(173489)	1000|7200000301|2020|186|50|S|H|||||      33472.75|      33472.75|          0.00|      33472.75|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000131 VA-051 1100, Wilson Boulevard"||||0000610000|RFBU|||          0.00|001000L486||||000000|00000000|0000630000||||||          0.00|||0000116834||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      33472.75|00000000||
line(173505)	1000|7200000301|2020|202|40|S|S|||||      65244.71|      65244.71|          0.00|      65244.71|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000127 OH-018 711 North High Street, Columbus"||||0000610000|RFBU|||          0.00|001000M489||||000000|00000000|0000610200||||||          0.00|||0000123528||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      65244.71|00000000||
line(173508)	1000|7200000301|2020|205|40|S|S|||||      66230.00|      66230.00|          0.00|      66230.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000194 WA-023 416 6th Street South, Kirkland"||||0000610000|RFBU|||          0.00|0010006399||||000000|00000000|0000610200||||||          0.00|||0000910100||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      66230.00|00000000||
line(173519)	1000|7200000301|2020|216|50|S|H|||||      65244.71|      65244.71|          0.00|      65244.71|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000127 OH-018 711 North High Street, Columbus"||||0000610000|RFBU|||          0.00|001000M489||||000000|00000000|0000630000||||||          0.00|||0000123528||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      65244.71|00000000||
